Country,Prevalence2008,Prevalence2013,Prevalence2020,Incidence2008,Incidence2013,Incidence2020,MeanAgeofOnset2008,MeanAgeofOnset2013,MeanAgeofOnset2020,
Sierra Leone,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Singapore,1.9,3.9,6,0.1,-1,0.396255421,30.5,32,31.3,
Sint Maarten (Dutch part),-1,-1,-1,-1,-1,-1,-1,-1,-1,
Slovakia,17.5,-1,-1,3,-1,-1,30,-1,-1,
Slovenia,151,120,151.9,2.3,1.8,-1,27.4,28,-1,
Solomon Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Somalia,-1,-1,-1,-1,-1,-1,-1,-1,-1,
South Africa,32,5,8,1,1,-1,30,25,-1,
South Sudan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Spain,59,100,123.31,3.8,4,4.2,30,34.9,32.1,
Sri Lanka,-1,4.9,9.38,-1,-1,0.46896104,31.6,29,29,
St Martin (French part),-1,-1,-1,-1,-1,-1,-1,-1,-1,
Sudan,-1,-1,0.2,-1,-1,0.047845135,-1,-1,20,
Suriname,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Sweden,100,189,215,5,5,7.4,32,33.2,38.2,
Switzerland,110,110,180,5,4,-1,30,30,36.6,
Syrian Arab Republic,-1,-1,42,2,-1,2.3,25,-1,27.1,
Taiwan ,-1,2.96,4.6,-1,0.63,0.117776336,-1,-1,-1,
Tajikistan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Tanzania, United Republic of ",-1,-1,0.01,-1,-1,0.01,-1,-1,-1,
Thailand,2.5,0.75,0.77,-1,-1,0.016,33,34,28,
Timor-Leste,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Togo,-1,-1,0.15,-1,-1,-1,-1,-1,-1,
Tonga,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Trinidad and Tobago,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Tunisia,15,20.1,20.1,2,1.34,1.3,30,31,-1,
